identifier,full_link,title,weight,axis
coin-10022,https://catalog.princeton.edu/catalog/coin-10022,"penny, Le Puy",0.99,12
coin-10023,https://catalog.princeton.edu/catalog/coin-10023,"penny, Le Puy",0.81,
coin-10024,https://catalog.princeton.edu/catalog/coin-10024,"Henry II (1285 to 1324), Paris",41.31,6
coin-10025,https://catalog.princeton.edu/catalog/coin-10025,"penny, Le Puy",0.79,
coin-10026,https://catalog.princeton.edu/catalog/coin-10026,"penny, Le Puy",0.64,
coin-10027,https://catalog.princeton.edu/catalog/coin-10027,"penny, Le Puy",0.58,
coin-10028,https://catalog.princeton.edu/catalog/coin-10028,"penny, Le Puy",0.8,
coin-10029,https://catalog.princeton.edu/catalog/coin-10029,"penny, Le Puy",0.86,
coin-1003,https://catalog.princeton.edu/catalog/coin-1003,"Charles VI (1380 to 1422), demi-guenar",1.44,12
coin-10030,https://catalog.princeton.edu/catalog/coin-10030,"penny, Le Puy",0.35,
coin-10031,https://catalog.princeton.edu/catalog/coin-10031,"penny, Le Puy",0.25,
coin-10032,https://catalog.princeton.edu/catalog/coin-10032,"penny, Le Puy",0.25,
